,genomics,plant_id,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det,det_day,det_month,det_year,notes_specimen,event_id,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,notes_event,pop_id_thesis
20,BdM1690,B. A. S. Medeiros 111,SPF,MCZ,"Em mata de tabuleiro, sobre solo arenoso",arenoso,Folhas verdes,espata verde externamente e amarelo-creme internamente,flores amarelo-crème,folhas arqueadas,early male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2013.0,,13078,2.0,12.0,2013.0,,,,160,-18.9764971845,-40.1292300504,78.232421875,Jaguaré,ES,Brazil,REBIO Sooretama,B. A. S. Medeiros,F. M. Gudin,same plant collected in two days,P8
21,BdM1690,B. A. S. Medeiros 111,SPF,MCZ,"Em mata de tabuleiro, sobre solo arenoso",arenoso,Folhas verdes,espata verde externamente e amarelo-creme internamente,flores amarelo-crème,folhas arqueadas,early male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2013.0,,13078A,3.0,12.0,2013.0,,,,160,-18.9764971845,-40.1292300504,78.232421875,Jaguaré,ES,Brazil,REBIO Sooretama,B. A. S. Medeiros,F. M. Gudin,same plant collected in two days,P8
22,BdM1691,B. A. S. Medeiros 147,,MCZ,"plantada, prox a floresta de tabuleiro",,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14003,31.0,10.0,2014.0,,,,1,-19.13640755,-40.0605826,34.25244141,Linahres,ES,Brazil,"Reserva da Vale, área de visitantes",B. A. S. Medeiros,Z. Wang,,P8
23,BdM1692,B. A. S. Medeiros 148,,MCZ,mata de tabuleiro,,,,,,fruits,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14004,31.0,10.0,2014.0,,,,4,-19.18361393,-39.95119105,56.36254883,Linhares,ES,Brazil,"Reserva da Vale, Trilha Peroba Osso",B. A. S. Medeiros,Z. Wang,,P8
24,BdM1693,B. A. S. Medeiros 149,,MCZ,mata de tabuleiro,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14005,31.0,10.0,2014.0,,,,5,-19.18456385,-39.94823333,42.42358398,Linhares,ES,Brazil,"Reserva da Vale, Trilha Peroba Osso",B. A. S. Medeiros,Z. Wang,,P8
25,BdM1694,B. A. S. Medeiros 151,,MCZ,mata de tabuleiro,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14007,31.0,10.0,2014.0,,,,6,-19.18583103,-39.91122454,46.02856445,Linhares,ES,Brazil,"Reserva da Vale, Trilha Peroba Osso",B. A. S. Medeiros,Z. Wang,,P8
26,BdM1695,B. A. S. Medeiros 153,,MCZ,mata de tabuleiro,,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14011,1.0,11.0,2014.0,,,,9,-18.36921078,-40.14181959,108.2734375,Pinheiros,ES,Brazil,"REBIO Córrego do Veado, trilha da Anta",B. A. S. Medeiros,Z. Wang,,P1
27,BdM1696,B. A. S. Medeiros 154,,MCZ,mata de tabuleiro,,,,,,open female flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14012,1.0,11.0,2014.0,,,,9,-18.36921078,-40.14181959,108.2734375,Pinheiros,ES,Brazil,"REBIO Córrego do Veado, trilha da Anta",B. A. S. Medeiros,Z. Wang,,P1
28,BdM1697,B. A. S. Medeiros 155,,MCZ,mata de tabuleiro,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14013,1.0,11.0,2014.0,,,,10,-18.354853,-40.16456656,112.3590088,Pinheiros,ES,Brazil,"REBIO Córrego do Veado, trilha da Anta",B. A. S. Medeiros,Z. Wang,,P1
29,BdM1698,B. A. S. Medeiros 156,,MCZ,mata de tabuleiro,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14014,1.0,11.0,2014.0,,,,11,-18.30908253,-40.14820735,124.6157227,Pinheiros,ES,Brazil,"REBIO Córrego do Veado, trilha da Anta",B. A. S. Medeiros,Z. Wang,,P1
30,BdM1699,B. A. S. Medeiros 157,,MCZ,mata,,,,,,juvenile,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14017,2.0,11.0,2014.0,,,,13,-17.12218291,-39.38223878,111.1573486,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,,P10
31,BdM1700,B. A. S. Medeiros 158,,MCZ,mata,,,,,,"open male flowers, fruits",Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14018,2.0,11.0,2014.0,,,,14,-17.12177404,-39.38168105,121.0107422,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,,P10
32,BdM1701,B. A. S. Medeiros 159,,MCZ,mata,,,,,,fruits,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14019,2.0,11.0,2014.0,,,,14,-17.12177404,-39.38168105,121.0107422,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,,P10
33,BdM1702,B. A. S. Medeiros 160,,MCZ,mata,,,,,,open female flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14020,2.0,11.0,2014.0,,,,15,-17.12126518,-39.38050297,84.00024414,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,,P10
34,BdM1705,B. A. S. Medeiros 173,,MCZ,caatinga,argiloso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14034,3.0,11.0,2014.0,,,,21,-16.14953949,-40.2150376,178.4490967,Jacinto,MG,Brazil,À beira da estrada BR-367,B. A. S. Medeiros,Z. Wang,,P2
35,BdM1706,B. A. S. Medeiros 177,,MCZ,mata secundária,argiloso,,,,,,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14037B,4.0,11.0,2014.0,,,,25,-15.30810026,-39.14058851,116.2042236,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,WANG REPETIU NÚMERO!,P3
36,BdM1707,B. A. S. Medeiros 178,,MCZ,mata secundária,argiloso,,,,,,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14038,4.0,11.0,2014.0,,,,25,-15.30810026,-39.14058851,116.2042236,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,,P3
37,BdM1708,B. A. S. Medeiros 179,,MCZ,mata secundária,argiloso,,,,,,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14039,4.0,11.0,2014.0,,,,25,-15.30810026,-39.14058851,116.2042236,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,,P3
38,BdM1709,B. A. S. Medeiros 180,,MCZ,mata secundária,argiloso,,,,,,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14040,4.0,11.0,2014.0,,,,25,-15.30810026,-39.14058851,116.2042236,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,,P3
